ingresos_mensuales,edad,deudas_totales,numero_tarjetas,historial_crediticio,tasa_de_interes,mora_actual,moroso
-458,29,1470,-1,Malo,26.208385240861507,1,0
2347,36,1347,2,Regular,10.958724554137907,0,0
773,32,594,0,Malo,25.21000095390792,0,1
-108,18,744,-1,Malo,18.716445138089746,1,1
505,36,1443,-1,Malo,25.623289546605957,1,0
2300,51,4885,0,Bueno,15.996664410774319,1,0
935,34,4824,-1,Bueno,14.923426811062773,0,0
71,38,1403,-1,Malo,27.787072072445422,0,0
1235,65,2591,-2,Malo,12.900691969564445,1,1
1635,44,1739,1,Regular,15.627541922503006,0,1
679,46,3591,1,Bueno,16.356472497494128,0,1
979,25,352,-4,Malo,20.859123670062154,0,0
-107,41,2211,-1,Malo,34.23141379012192,1,0
445,7,2844,-1,Malo,26.490609877753524,0,0
742,39,2825,-2,Bueno,8.987235036739222,1,1
122,23,2848,0,Bueno,9.994102254171835,0,0
905,38,2019,-1,Malo,27.268524385740605,1,0
707,46,1886,-2,Malo,23.439323238761258,1,0
905,54,3482,-1,Bueno,19.452753176929598,1,1
677,44,5342,2,Bueno,9.488086996510921,0,1
860,67,4014,1,Regular,10.072199301639596,0,1
-406,9,2098,0,Bueno,16.261115770995865,1,0
119,28,1380,-2,Malo,27.704540573487023,1,1
628,43,2366,0,Bueno,18.437168742422564,1,0
2612,56,5848,0,Bueno,14.109053097449856,0,0
1217,58,2942,2,Regular,15.823751051678617,1,1
1413,38,5103,-1,Bueno,17.972015965719933,1,1
2105,46,2867,3,Regular,17.10861539038211,0,1
2078,37,1598,1,Regular,19.585285019243912,1,0
455,54,1065,-2,Malo,25.876075600901103,0,0
554,17,2051,-2,Malo,23.97468150027221,0,0
1032,34,3538,1,Malo,22.746231620608544,0,1
661,37,4212,0,Bueno,11.497853055547168,0,0
2144,51,5703,0,Bueno,9.769416994778684,1,0
673,10,1329,-2,Malo,16.75688613436315,1,0
733,27,3311,-1,Malo,26.916235757534302,0,1
1243,31,5825,-1,Bueno,15.871285724516348,1,1
340,39,2394,-1,Malo,17.616949156260024,1,1
1057,39,1172,-1,Bueno,23.51455102614541,1,0
1643,50,4434,0,Bueno,19.098161501029132,1,0
1142,38,3821,-1,Malo,19.64221977156857,1,1
1024,21,5626,1,Bueno,15.002659398734986,1,1
242,29,2583,1,Malo,21.15247325785747,1,1
1900,65,4334,1,Bueno,13.90339271905489,1,1
897,30,3031,-2,Malo,15.537576293145936,0,0
722,38,850,0,Malo,24.771237000496825,1,0
1045,42,1725,-2,Malo,23.676166572732807,1,1
363,35,4725,1,Bueno,16.580632745222054,0,0
1353,26,6592,1,Bueno,10.273352930104636,1,0
1484,39,850,0,Regular,11.375144873285643,1,0
1016,12,6517,-2,Bueno,3.824030871104238,1,1
1447,41,4845,-1,Bueno,19.178691975087943,0,0
2070,28,1418,-1,Malo,23.927203933216024,1,1
1167,43,4853,1,Bueno,13.454078011892783,1,0
1102,19,357,-2,Malo,22.077021838736165,1,1
1816,35,987,1,Regular,9.077860062591416,0,1
1485,21,6147,1,Bueno,13.59151698700818,1,0
638,24,2819,1,Malo,24.228618836578317,1,0
2740,35,1287,1,Regular,5.026406186540744,1,1
1120,24,5376,0,Bueno,7.474160202586338,0,1
951,46,5912,1,Bueno,11.097821051767466,0,1
652,40,5762,2,Bueno,12.261035128771496,0,1
1479,44,5149,1,Bueno,13.959044455091064,0,0
1191,36,4477,0,Bueno,-0.9006072206769611,0,0
1043,29,6941,0,Bueno,15.605377474419518,0,1
1405,27,5172,0,Bueno,6.195789535997282,1,1
1859,33,1354,2,Regular,19.818492296493027,1,1
625,32,3577,1,Bueno,0.9780731647211085,1,0
2982,37,1252,0,Regular,7.028505125103461,0,1
1335,32,5737,0,Bueno,6.04682618611276,0,0
239,20,2106,-1,Malo,16.413465287529053,1,1
1381,39,5546,1,Bueno,23.37449198639829,1,1
235,28,1557,-1,Malo,13.37538022494989,1,1
922,17,5644,2,Bueno,7.911267634121331,1,0
84,11,1319,0,Bueno,12.66180084428848,0,0
1659,29,3863,0,Bueno,12.117555763222565,0,1
439,52,3201,0,Bueno,23.07439971466388,1,0
904,34,6277,2,Bueno,6.466592272875167,1,1
2310,32,1170,3,Regular,15.361828374956296,1,0
1377,31,826,3,Regular,18.157178043668328,0,1
1636,40,4453,0,Bueno,17.4517474519592,0,0
441,21,3609,0,Bueno,15.819906324449255,0,0
887,43,5284,0,Bueno,18.52552008179523,0,1
-627,5,1946,-1,Bueno,14.531587861282834,1,1
187,36,5508,0,Bueno,10.430429345475098,0,0
1188,27,3119,-3,Malo,22.395881578197145,1,1
-356,9,1656,-1,Bueno,16.111973353956884,0,1
1317,45,4983,1,Bueno,0.8062010781577924,1,1
745,49,5690,-1,Bueno,14.803304228900096,0,1
943,51,4747,1,Bueno,13.114719315082581,1,1
1886,51,5765,1,Bueno,14.190348314678179,1,0
1708,34,976,1,Regular,15.562468078588147,1,0
614,52,2635,-1,Bueno,18.6732189341339,0,1
2137,31,3169,0,Bueno,13.678712103821152,1,1
334,27,4260,-1,Bueno,7.842655765306887,0,1
877,22,3298,2,Bueno,24.885835808347633,0,1
1607,20,2088,-1,Malo,18.926616790831698,1,0
751,31,2155,-1,Malo,16.09154695815121,1,1
-380,27,4659,-2,Bueno,4.351444153559964,1,1
1233,51,4317,0,Bueno,11.04381461786323,0,0
1634,26,603,1,Regular,10.97140490460896,1,0
908,52,5982,1,Bueno,14.254060347906787,1,1
505,30,2715,2,Bueno,26.227034026999466,1,1
1631,23,6448,0,Bueno,8.690857363976978,1,0
1061,54,4663,-1,Bueno,13.255435291083899,1,0
1982,28,4380,0,Bueno,21.533615093276378,1,0
-125,29,1590,-2,Malo,26.674190121625696,1,1
1420,36,2404,3,Regular,12.313227994055772,1,1
192,12,1967,-2,Malo,20.861813024092626,1,1
2220,18,1018,2,Regular,7.906135650926553,1,1
5,43,5289,-2,Bueno,6.978188643421744,1,0
1516,28,5128,0,Bueno,2.7601485007626496,0,1
378,41,3699,0,Bueno,14.134691763725922,1,0
493,26,4992,0,Bueno,17.65228201560395,0,1
846,40,4675,0,Bueno,8.850118822935782,0,0
720,19,4726,0,Bueno,8.569755807946667,1,0
532,35,3540,-2,Bueno,6.804256146436442,1,0
1415,35,4606,1,Bueno,24.79293497809995,0,1
355,28,3853,-3,Malo,18.023597627721006,1,0
195,37,3195,-3,Bueno,7.188673966404549,1,0
1401,19,6804,0,Bueno,14.22251590871925,0,1
406,12,2453,1,Malo,28.64157814729085,1,1
935,43,2507,-2,Malo,26.156812658293205,0,0
1444,35,1424,3,Regular,12.562704823496414,1,1
-258,47,2310,-2,Bueno,12.63212569414221,0,0
2156,28,1407,2,Regular,19.67515092735293,0,1
877,43,4761,1,Bueno,9.32669430915573,1,0
838,45,1971,-1,Malo,21.97111201613359,0,1
1023,29,3712,-3,Bueno,7.117078101298608,0,0
882,41,2138,0,Malo,20.993654476934545,1,0
478,9,2671,0,Bueno,17.829403413018444,1,0
356,53,4277,0,Bueno,11.88330870037245,1,0
1863,32,2092,0,Malo,24.29952434462591,1,0
278,28,2732,0,Malo,16.36187481478871,0,1
1191,47,2243,-2,Malo,23.37200335997691,1,0
854,44,5078,0,Bueno,5.847303266578743,0,0
1546,23,6580,0,Bueno,3.9115132103526116,1,1
1969,36,2283,1,Regular,17.798055267504537,0,1
994,18,957,2,Regular,9.414491465514907,0,1
1713,41,5476,0,Bueno,20.481251016752502,1,1
-666,12,1554,-1,Bueno,12.98323072855684,0,1
385,41,2879,-3,Malo,18.116698726970547,0,0
1500,65,3532,-3,Malo,16.97826246026615,0,0
2074,42,1970,2,Regular,21.850678242532602,1,1
1683,36,693,3,Regular,13.951376388754408,0,0
1393,50,3791,0,Bueno,11.092335179134864,0,1
333,47,2454,-1,Malo,25.25341605931599,1,0
1160,21,5452,0,Bueno,2.0281204920672877,0,1
379,22,2514,-1,Malo,12.512710438376878,0,0
770,32,3474,-2,Malo,23.153071854855906,0,1
753,28,2230,-2,Malo,21.353344461341262,1,0
1466,49,4518,2,Bueno,7.315578311694724,1,1
1531,39,3233,0,Bueno,14.21852650764523,1,1
44,35,4657,0,Bueno,5.9176555142226155,1,0
283,38,4144,0,Bueno,10.049819723389033,0,1
1674,22,-336,0,Regular,9.802586123600225,1,0
351,29,959,0,Malo,28.840813050935918,1,0
1039,37,4285,1,Bueno,13.863623262725921,1,1
1066,28,772,-2,Malo,20.397738724877133,1,0
782,51,5688,0,Bueno,8.175209261686868,0,1
481,22,4146,-2,Malo,27.395882228710562,1,0
1328,27,3346,1,Bueno,22.545183428649725,0,1
1497,40,6029,1,Bueno,8.21802995736543,0,1
931,25,2908,-2,Malo,20.259544632734553,0,0
1843,27,693,2,Regular,15.197512567881116,1,1
838,40,4475,2,Bueno,18.470987519871464,1,0
434,10,6583,1,Bueno,13.751666823789929,0,0
1313,32,760,-2,Malo,20.454232887458893,1,1
-517,12,583,-1,Bueno,14.83691059947928,0,0
832,29,5955,1,Bueno,7.104141086882301,1,1
2175,43,1263,0,Regular,20.328530403175186,0,1
1019,36,2620,0,Malo,25.38495205088885,0,1
230,23,3313,2,Bueno,29.876535365896906,1,1
1070,23,3330,0,Bueno,8.286092980948983,1,0
405,30,1531,-3,Malo,22.747781391882246,1,1
264,40,388,-1,Malo,21.282758324746567,1,0
219,22,2375,-3,Malo,31.33257975621143,0,1
2261,46,5565,0,Bueno,14.010982477980768,1,1
796,29,124,0,Malo,21.147263376739424,1,1
2750,44,6753,0,Bueno,21.055427113874345,0,0
425,30,1437,-2,Malo,29.66483743958375,0,0
1894,32,1708,2,Regular,18.647403194716045,1,0
1166,12,2633,2,Bueno,28.033829927913423,0,1
2142,49,5426,-1,Bueno,15.54196876873165,0,1
2105,29,231,0,Regular,6.19215625789502,0,1
1586,35,5609,-2,Bueno,10.986872218568678,0,1
859,51,5119,-2,Bueno,13.994398486334775,0,0
894,33,5553,0,Bueno,10.085724993484577,0,1
419,11,4967,1,Bueno,11.879968866289715,0,1
1236,38,4174,0,Bueno,13.865494565508108,0,1
1630,28,3768,1,Bueno,7.979118894063051,1,1
1802,25,1802,1,Regular,19.40188126354046,1,1
1736,18,-68,2,Regular,14.778857058064613,1,1
569,36,5774,1,Bueno,5.657401148833439,1,0
48,26,4645,-2,Bueno,4.404219533305003,0,0
74,44,5225,0,Bueno,14.90400010390912,0,1
521,8,637,-3,Malo,16.403355950159444,1,0
696,16,5628,1,Bueno,11.547690510853583,0,1
2104,42,2177,1,Regular,22.35513054948766,0,0
2351,49,4379,0,Bueno,21.135239426347884,1,0
834,39,2267,-1,Malo,28.90082437365886,1,0
2038,37,1519,-2,Malo,20.453482097148427,0,1
1004,55,3452,-4,Malo,16.079852834626692,1,1
1472,37,3814,0,Bueno,20.659355706866215,0,1
889,40,3116,0,Bueno,21.81033576916745,0,0
347,13,1736,-2,Malo,18.655859761110506,0,1
1297,32,3259,-1,Bueno,11.153050468068674,1,1
1185,34,5914,0,Bueno,13.914950906282444,0,0
328,32,3463,-1,Malo,19.524613177002948,1,0
1456,31,3841,-1,Bueno,17.773626020661453,0,0
1617,48,4276,2,Regular,14.974577399376887,0,0
998,8,5716,1,Bueno,12.000203759406004,0,1
563,38,817,-2,Bueno,19.343055129974733,0,1
768,60,3122,2,Regular,14.416359287862363,0,1
2326,50,617,0,Regular,18.05048909027985,1,0
631,62,4842,0,Bueno,20.17318645077301,1,0
69,14,375,-4,Malo,12.120043117933404,1,0
1006,39,2729,-1,Malo,32.44511941769056,1,0
1321,20,3179,2,Bueno,25.553814231719247,0,1
-39,41,4294,0,Bueno,6.585452605882906,0,0
496,35,3214,-3,Bueno,8.503645648661948,1,0
-273,6,2101,-1,Bueno,11.37935775811027,1,1
569,19,3319,-1,Malo,22.059260407833232,1,0
1432,42,4674,1,Bueno,3.0092370808708298,1,0
2234,27,2478,1,Regular,14.733696288879166,1,1
379,18,2690,-3,Malo,22.668690094762873,0,1
1008,17,484,-5,Malo,21.24303534458401,0,0
812,27,1758,0,Malo,27.36363070771903,0,0
2207,41,1660,0,Regular,19.17191611852351,1,1
39,27,3137,-2,Malo,24.01076119321657,0,0
478,26,3791,-1,Malo,26.880581816342982,0,1
1349,56,4017,0,Bueno,12.357990661040787,0,0
629,63,3559,-3,Malo,11.535182781972265,1,1
2319,20,603,3,Regular,16.3858671974428,1,0
460,44,4229,-1,Bueno,8.122984699463995,1,0
1982,37,200,0,Regular,6.943062371942599,1,0
1049,43,3795,0,Bueno,27.879101438390382,1,1
949,20,3914,1,Bueno,27.049326632977202,1,1
814,33,3019,-1,Malo,23.209848695802524,1,1
1652,41,-2,-1,Regular,16.358998753072,1,0
2346,44,2799,2,Regular,19.876322954633793,0,0
550,18,2165,-1,Malo,18.96664371852217,0,1
1565,28,4375,0,Bueno,7.770858272342415,1,0
1417,37,7182,0,Bueno,15.42284592698747,0,0
2305,46,2610,2,Regular,12.165321252060217,0,1
233,15,2996,0,Bueno,22.56564884610053,0,0
1478,35,2056,0,Regular,20.944691613063135,1,1
1239,29,4437,0,Bueno,12.895261036899315,1,0
716,23,4966,-2,Bueno,4.7299041074127,1,1
2225,43,5280,1,Bueno,13.70174887192068,1,1
1238,39,3690,0,Bueno,21.565222380755372,1,1
1920,37,1493,0,Regular,18.40733990525174,0,0
1251,16,3101,2,Bueno,26.307754017442303,1,1
-125,24,2747,0,Bueno,24.690090704024062,0,0
-170,14,3319,-4,Malo,35.00737883255109,0,0
252,9,1743,-3,Malo,18.430380572832103,0,1
1978,35,2008,-1,Malo,21.378809795269976,1,0
2094,54,6507,0,Bueno,15.049607278024386,0,1
956,46,5197,-1,Bueno,14.135937768210898,0,0
1498,34,5739,1,Bueno,10.325217590192768,0,1
727,29,2001,-1,Malo,16.849170750810007,1,1
993,11,3464,1,Bueno,30.62303609881495,1,1
689,35,-70,-1,Malo,24.296464211013596,0,1
1293,45,6789,-1,Bueno,19.320458666253195,1,1
1868,50,5082,0,Bueno,18.106385231676654,1,0
1072,37,3192,-1,Bueno,15.621880528274872,0,1
-579,9,3130,-5,Malo,33.41497171881199,0,1
1412,42,3752,-1,Bueno,15.893348688038166,1,1
-568,15,3426,-1,Bueno,28.388813068150476,0,1
36,21,3581,1,Malo,17.686689368222684,1,1
575,40,3349,0,Malo,22.1502544030424,1,1
1801,34,5272,-1,Bueno,18.81327597879675,1,0
841,19,4139,1,Bueno,23.245614017672416,0,0
471,16,4526,0,Bueno,29.48757718915632,1,1
1867,20,1026,1,Regular,19.57943365697851,1,1
1169,43,3767,0,Bueno,19.53275502386846,1,1
2550,33,529,2,Regular,11.064637160830376,0,1
671,33,3665,-2,Bueno,6.682555178225563,1,0
228,25,2106,-3,Malo,15.910681859290907,1,0
552,46,1621,-2,Malo,26.175125342788856,0,0
591,14,4456,1,Bueno,27.408409071511002,0,1
1991,36,1632,0,Regular,17.52971927027827,0,0
2021,50,5366,0,Bueno,8.856066835483857,1,1
2202,27,1,0,Regular,13.9142710825564,0,1
327,44,5390,-1,Bueno,7.9844253965789775,1,0
-81,42,1187,0,Malo,22.22956915854019,1,1
1362,34,7008,1,Bueno,1.8143318535825594,0,1
2528,11,521,2,Regular,19.857827843792975,1,1
259,21,3596,-3,Malo,19.867578221890593,0,1
-95,19,3513,-2,Malo,12.246099229956302,0,1
382,23,3509,1,Bueno,18.317648552078168,0,0
1776,25,6137,-2,Bueno,8.90384148504732,0,1
375,18,1671,-1,Malo,23.638173414715382,0,0
1242,24,5481,-1,Bueno,12.136897287388386,0,1
67,5,1859,-2,Bueno,12.112546024372781,1,1
